Country,EU member,Financial commitments,Humanitarian commitments,Military commitments,Total bilateral commitments,GDP (2021),GDP (EUR),Total bilateral commitments,Share in EU commitments,Share in EPF commitments,Share in EIB commitments,Share in total EU commitments,Share in total EU commitments,Total bilateral and EU assistance,Total bilateral and EU assistance,Specific weapons and equipment,Financial commitments with military purpose
,,$ billion,$ billion,$ billion,$ billion,US$ billion,€ billion,% GDP,$ billion,$ billion,$ billion,$ billion,% GDP,$ billion,% GDP,$ billion,$ billion
Australia,0,0,0.07,0.39,0.46,"1,553","1,429",0.03,0,0,0,0,0,0.46,0.03,0.38,0.01
Austria,1,0.04,0.89,0,0.94,480,442,0.2,0.87,0.17,0.06,1.1,0.23,2.04,0.43,0,0
Belgium,1,0.02,0.1,0.42,0.53,594,547,0.09,1.04,0.21,0.11,1.36,0.23,1.9,0.32,0.42,0
Bulgaria,1,0,0,0.26,0.26,84,77,0.31,0.19,0.03,0,0.22,0.26,0.48,0.57,0.26,0
Canada,0,3.71,0.38,1.63,5.73,"1,988","1,830",0.29,0,0,0,0,0,5.73,0.29,1.63,0
Croatia,1,0,0.04,0.17,0.21,69,63,0.3,0.13,0.02,0.01,0.16,0.23,0.36,0.53,0.13,0.03
Cyprus,1,0,0,0,0,28,26,0.01,0.05,0.01,0,0.06,0.21,0.06,0.22,0,0
Czech Republic,1,0,0.4,0.61,1.02,282,259,0.36,0.44,0.09,0.02,0.55,0.2,1.57,0.56,0.57,0.04
Denmark,1,0.06,0.28,1.71,2.05,398,366,0.51,0.76,0.15,0.06,0.96,0.24,3.01,0.76,1.71,0
Estonia,1,0,0.01,0.46,0.47,37,34,1.26,0.06,0.01,0,0.07,0.2,0.54,1.46,0.46,0
EU (Commission and Council),0,27.52,2.33,0,29.84,"17,177","15,806",0.17,0,0,0,0,0,29.84,0.17,0,0
Finland,1,0.08,0.02,1.21,1.32,297,274,0.44,0.51,0.11,0.03,0.65,0.22,1.97,0.66,1.18,0.03
France,1,0.76,0.34,0.48,1.59,"2,958","2,722",0.05,5.06,1.06,0.41,6.52,0.22,8.11,0.27,0.48,0
Germany,1,1.41,2.04,8.15,11.61,"4,260","3,920",0.27,5.99,1.57,0.41,7.97,0.19,19.58,0.46,8.07,0.08
Greece,1,0,0,0.2,0.2,215,198,0.09,0.43,0.08,0.03,0.54,0.25,0.74,0.34,0.2,0
Hungary,1,0,0.05,0,0.05,182,167,0.03,0.35,0.06,0.02,0.43,0.24,0.48,0.27,0,0
Iceland,0,0.01,0.01,0.01,0.03,26,24,0.13,0,0,0,0,0,0.03,0.13,0.01,0
Ireland,1,0.03,0.07,0,0.1,504,464,0.02,0.6,0.13,0.01,0.75,0.15,0.84,0.17,0,0
Italy,1,0.45,0.24,0.77,1.46,"2,108","1,939",0.07,3.64,0.76,0.41,4.82,0.23,6.28,0.3,0.77,0
Japan,0,6.07,1.09,0.03,7.19,"4,941","4,546",0.15,0,0,0,0,0,7.19,0.15,0.03,0
Latvia,1,0.03,0.01,0.4,0.43,40,37,1.09,0.06,0.01,0,0.08,0.19,0.51,1.28,0.4,0
Lithuania,1,0.03,0.07,0.53,0.63,66,61,0.95,0.1,0.02,0,0.12,0.19,0.76,1.14,0.45,0.08
Luxembourg,1,0,0,0.1,0.1,86,79,0.12,0.1,0.02,0,0.12,0.14,0.22,0.26,0.1,0
Malta,1,0,0,0,0,17,16,0.01,0.02,0.01,0,0.03,0.18,0.03,0.19,0,0
Netherlands,1,1.08,0.64,2.7,4.42,"1,013",932,0.44,2.36,0.35,0.11,2.82,0.28,7.24,0.71,2.55,0.15
New Zealand,0,0,0.01,0.02,0.03,250,230,0.01,0,0,0,0,0,0.03,0.01,0.01,0.01
Norway,0,0.96,0.21,1.1,2.27,482,444,0.47,0,0,0,0,0,2.27,0.47,0.79,0.31
Poland,1,1.01,0.37,3.26,4.64,679,625,0.68,1.25,0.23,0.1,1.58,0.23,6.21,0.91,3.26,0
Portugal,1,0.27,0,0.08,0.36,254,233,0.14,0.43,0.09,0.02,0.54,0.21,0.9,0.35,0.08,0
