country,activeDuty,paramilitary,reserves,total,pop2022,alliance
Afghanistan,178800,99000,0,277800,40754.388,Neither
Albania,8000,0,0,8000,2866.374,NATO
Algeria,130000,187200,150000,467200,45350.148,Neither
Angola,107000,10000,0,117000,35027.343,Neither
Antigua and Barbuda,180,0,80,260,99.509,Neither
Argentina,72100,31250,0,103350,46010.234,Neither
Armenia,44800,4300,210000,259100,2971.966,CSTO
Australia,58600,0,30100,88700,26068.792,Neither
Austria,22050,0,125600,147650,9066.71,Neither
Azerbaijan,126950,15000,330000,471950,10300.205,Neither
Bahamas,1300,0,0,1300,400.516,Neither
Bahrain,8200,11260,0,19460,1783.983,Neither
Bangladesh,163050,63900,0,226950,167885.689,Neither
Barbados,610,0,430,1040,288.023,Neither
Belarus,45350,110000,289500,444850,9432.8,CSTO
Belgium,26300,0,5100,31400,11668.278,NATO
Belize,1500,150,700,2350,412.19,Neither
Benin,7250,4800,0,12050,12784.726,Neither
Bolivia,34100,37100,0,71200,11992.656,Neither
Bosnia and Herzegovina,10500,0,0,10500,3249.317,Neither
Botswana,9000,0,0,9000,2441.162,Neither
Brazil,366500,395000,1340000,2101500,215353.593,Neither
Brunei,7200,450,700,8350,445.431,Neither
Bulgaria,36950,0,3000,39950,6844.597,NATO
Burkina Faso,11200,250,0,11450,22102.838,Neither
Burundi,30050,21000,0,51050,12624.84,Neither
Cambodia,124300,67000,0,191300,17168.639,Neither
Cameroon,25400,9000,0,34400,27911.548,Neither
Canada,67400,4500,35600,107500,38388.419,NATO
Cape Verde,1200,0,0,1200,567.678,Neither
Central African Republic,9150,1000,0,10150,5016.678,Neither
Chad,33250,11900,0,45150,17413.58,Neither
Chile,77200,44700,40000,161900,19250.195,Neither
China,2185000,660000,1170000,4015000,1448471.4,Neither
Colombia,293200,187900,34950,516050,51512.762,Neither
Costa Rica,0,9800,0,9800,5182.354,Neither
Croatia,15200,3000,18350,36550,4059.286,NATO
Cuba,49000,1146500,39000,1234500,11305.652,Neither
Cyprus,15000,750,50000,65750,1223.387,Neither
Czech Republic,21750,0,0,21750,10736.784,NATO
Denmark,14500,0,44000,58500,5834.95,NATO
Djibouti,10450,2650,0,13100,1016.097,Neither
Dominican Republic,56050,15000,0,71050,11056.37,Neither
DR Congo,134250,0,0,134250,95240.792,Neither
Ecuador,40250,500,118000,158750,18113.361,Neither
Egypt,438500,397000,479000,1314500,106156.692,Neither
El Salvador,24500,17000,9900,51400,6550.389,Neither
Equatorial Guinea,1450,0,0,1450,1496.662,Neither
Eritrea,201750,0,120000,321750,3662.244,Neither
Estonia,7100,0,17500,24600,1321.91,NATO
Ethiopia,138000,0,0,138000,120812.698,Neither
Fiji,3500,0,6000,9500,909.466,Neither
Finland,23800,14200,216000,254000,5554.96,NATO
France,203250,130800,41050,375100,65584.518,NATO
Gabon,4700,2000,0,6700,2331.533,Neither
Gambia,800,0,0,800,2558.482,Neither
