Country1,Military Stockpile,Retired Weapons,Total Inventory,Total nuclear tests,First tested,Most recent test,Country
 Russia,4477,1500,5977,715,Aug-49,Oct-90, Russia
 United States,3708,1720,5428,1030,Jul-45,Sep-92, United States
 France,290,0,290,210,Feb-60,Jan-96, France
 China,350,0,350,45,Oct-64,Jul-96, China
 United Kingdom,180,45,225,45,Oct-52,Nov-91, United Kingdom
 Israel,90,0,90,0,Not yet,Not yet, Israel
 Pakistan,165,0,165,2,May-98,May-98, Pakistan
 India,160,0,160,3,May-74,May-98, India
 North Korea,20,0,20,6,Oct-06,Sep-17, North Korea
Total,9440,3265,12705,2056,,,Total
