,country,spend,nukes,total
0,Algeria,9145.8,0.0,467200.0
2,Morocco,4995.0,0.0,395800.0
3,Tunisia,1156.2,0.0,47800.0
4,Angola,1622.8,0.0,117000.0
5,Benin,97.2,0.0,12050.0
6,Botswana,489.3,0.0,9000.0
7,Burkina Faso,562.6,0.0,11450.0
8,Burundi,101.4,0.0,51050.0
9,Cameroon,416.6,0.0,34400.0
10,Cape Verde,10.3,0.0,1200.0
11,Central African Republic,42.0,0.0,10150.0
12,Chad,357.4,0.0,45150.0
17,Equatorial Guinea,156.8,0.0,1450.0
19,Ethiopia,1031.4,0.0,138000.0
20,Gabon,277.7,0.0,6700.0
22,Ghana,229.3,0.0,15500.0
23,Guinea,441.3,0.0,12300.0
24,Guinea-Bissau,24.5,0.0,4450.0
25,Kenya,1138.3,0.0,29100.0
26,Lesotho,34.7,0.0,2000.0
27,Liberia,18.7,0.0,2010.0
28,Madagascar,98.0,0.0,21600.0
29,Malawi,75.8,0.0,14900.0
30,Mali,515.1,0.0,20800.0
31,Mauritania,225.4,0.0,20850.0
32,Mauritius,20.3,0.0,2550.0
33,Mozambique,281.9,0.0,11200.0
34,Namibia,369.1,0.0,15900.0
35,Niger,242.5,0.0,10700.0
36,Nigeria,3109.4,0.0,223000.0
37,Rwanda,177.2,0.0,35000.0
38,Senegal,433.5,0.0,18600.0
39,Seychelles,26.1,0.0,420.0
40,Sierra Leone,24.5,0.0,8500.0
41,Somalia,115.1,0.0,19800.0
42,South Africa,2995.3,0.0,80400.0
43,South Sudan,378.8,0.0,185000.0
46,Tanzania,832.2,0.0,108400.0
47,Togo,336.6,0.0,9300.0
48,Uganda,923.1,0.0,56400.0
49,Zambia,326.1,0.0,19500.0
50,Zimbabwe,182.1,0.0,50800.0
51,Belize,23.7,0.0,2350.0
52,Costa Rica,0.0,0.0,9800.0
54,Dominican Republic,760.8,0.0,71050.0
55,El Salvador,422.4,0.0,51400.0
56,Guatemala,430.6,0.0,106900.0
57,Haiti,12.6,0.0,200.0
58,Honduras,477.5,0.0,82950.0
59,Jamaica,215.1,0.0,4930.0
60,Mexico,8535.5,0.0,409400.0
61,Nicaragua,84.2,0.0,12000.0
62,Panama,0.0,0.0,26000.0
63,Trinidad and Tobago,201.1,0.0,4050.0
64,Canada,26896.3,0.0,107500.0
66,Argentina,2577.6,0.0,103350.0
67,Bolivia,640.3,0.0,71200.0
68,Brazil,20210.8,0.0,2101500.0
69,Chile,5566.5,0.0,161900.0
70,Colombia,9937.7,0.0,516050.0
71,Ecuador,2488.6,0.0,158750.0
72,Guyana,84.3,0.0,4070.0
73,Paraguay,365.7,0.0,193250.0
74,Peru,2845.4,0.0,346000.0
75,Uruguay,1375.6,0.0,22400.0
76,Venezuela,4.6,0.0,351000.0
77,Australia,32298.9,0.0,88700.0
78,Fiji,66.8,0.0,9500.0
79,New Zealand,2829.1,0.0,11300.0
80,Papua New Guinea,97.5,0.0,3600.0
