Country,Number of refugees,latitude,longitude
Russia,1275315,61.52401,105.318756
Germany,1086355,51.165691,10.451526
Poland,968390,51.919438,19.145136
Czech Republic,368300,49.817492,15.472962
United Kingdom,210800,55.378051,-3.435973
Spain,186125,40.463667,-3.74922
Italy,167525,41.87194,12.56738
Moldova,116615,47.411631,28.369885
Slovakia,107415,48.669026,19.699024
Netherlands,94415,52.132633,5.291266
Ireland,93810,53.41291,-8.24389
Romania,86810,45.943161,24.96676
Belgium,73095,50.503887,4.469936
France,70570,46.227638,2.213749
Austria,68700,47.516231,14.550072
Switzerland,65800,46.818188,8.227512
Bulgaria,65765,42.733883,25.48583
Finland,61060,61.92411,25.748151
Portugal,56995,39.399872,-8.224454
Norway,56970,60.472024,8.468946
Montenegro,56915,42.708678,19.37439
Hungary,53375,47.162494,19.503304
Estonia,50450,58.595272,25.013607
Lithuania,49970,55.169438,23.881275
Turkey,43670,38.963745,35.243322
Sweden,41055,60.128161,18.643501
Denmark,39680,56.26392,9.501785
Latvia,32470,56.879635,24.603189
Belarus,32435,53.709807,27.953389
Georgia,27000,42.315407,43.356892
Greece,25050,39.074208,21.824312
Croatia,23070,45.1,15.2
Cyprus,18225,35.126413,33.429859
North Macedonia,17315,41.608635,21.745275
Slovenia,10140,46.151241,14.995463
Luxembourg,6065,49.815273,6.129583
Serbia,5710,44.016521,21.005859
Azerbaijan,4610,40.143105,47.576927
Albania,3800,41.153332,20.168331
Iceland,3250,64.963051,-19.020835
Malta,2235,35.937496,14.375416
Armenia,605,40.069099,45.038189
Liechtenstein,520,47.166,9.555373
Bosnia and Herzegovina,190,43.915886,17.679076
